genomes	A4-a.gms.out.faa	A4-b.gms.out.faa	AHCA1-a-T4.gms.out.faa	FL17-a-T4.gms.out.faa	FL17-b.gms.out.faa	FL17-c.gms.out.faa	FP2.gms.out.faa	HHCA1-a.gms.out.faa	Ishi-1-a.gms.out.faa	JXGC-a.gms.out.faa	P-HHCA1-2.gms.out.faa	P-JXGC-3.gms.out.faa	P-SGCA5-1.gms.out.faa	SC1.gms.out.faa	SC2.gms.out.faa	SGCA5-a.gms.out.faa	TX1712-a.gms.out.faa	TX1712-b.gms.out.faa	TX1712-c.gms.out.faa	TX2351-a.gms.out.faa	TX2351-b.gms.out.faa	TX2351-c.gms.out.faa	TX2351-d.gms.out.faa	YCPsy-a.gms.out.faa	YCPsy-b.gms.out.faa	YCPsy-c.gms.out.faa	YCPsy-d.gms.out.faa	YNJS7C-a.gms.out.faa	YNJS7C-b.gms.out.faa	YNJS7C-c.gms.out.faa	gxpsy-a.gms.out.faa	gxpsy-b.gms.out.faa	gxpsy-c.gms.out.faa	psy62-b.gms.out.faa	psy62-c.gms.out.faa
TX2351-a.gms.out.faa	NA	84.12	NA	NA	NA	98.06	95.83	NA	NA	NA	93.17	94.02	97.68	99.68	96.39	NA	NA	100.00	99.82	100	NA	NA	96.29	NA	83.06	NA	97.61	NA	97.08	93.17	NA	84.50	97.74	77.12	NA
TX2351-b.gms.out.faa	NA	94.88	NA	NA	24.49	NA	99.67	NA	NA	NA	92.54	NA	24.67	24.17	99.44	NA	NA	33.96	NA	NA	100	NA	NA	NA	37.17	NA	NA	NA	24.23	NA	NA	93.92	24.27	24.03	NA
TX2351-c.gms.out.faa	NA	95.19	NA	NA	NA	88.99	100.00	NA	NA	NA	92.91	86.76	88.34	92.46	100.00	NA	NA	89.90	NA	NA	NA	100	NA	NA	NA	95.33	NA	NA	86.61	86.76	NA	86.96	89.53	87.70	NA
TX2351-d.gms.out.faa	NA	88.69	NA	NA	NA	90.80	99.86	NA	NA	NA	96.12	94.57	94.00	95.31	99.84	NA	NA	91.20	100.00	96.29	NA	NA	100	NA	99.72	91.20	97.61	NA	91.93	94.21	NA	88.96	92.77	69.59	NA
YCPsy-a.gms.out.faa	99.99	NA	100.00	100.00	NA	NA	NA	99.78	99.97	100.00	NA	NA	NA	NA	NA	99.61	99.94	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	100.00	NA	NA	99.90	NA	NA	NA	99.94
YCPsy-b.gms.out.faa	NA	59.46	NA	NA	99.94	100.00	63.41	NA	NA	NA	59.71	99.44	96.78	92.78	56.04	NA	NA	93.34	NA	83.06	37.17	NA	99.72	NA	100	NA	NA	NA	96.64	99.72	NA	70.46	96.60	92.64	NA
YCPsy-c.gms.out.faa	NA	94.04	NA	NA	NA	97.92	94.50	NA	NA	NA	99.47	96.66	94.14	95.42	95.42	NA	NA	99.85	NA	NA	NA	95.33	91.20	NA	NA	100	NA	NA	83.17	96.66	NA	99.87	97.47	97.57	NA
YCPsy-d.gms.out.faa	NA	88.53	NA	NA	NA	100.00	97.61	NA	NA	NA	95.70	100.00	97.56	97.73	97.58	NA	NA	NA	97.61	97.61	NA	NA	97.61	NA	NA	NA	100	NA	98.06	98.49	NA	92.82	99.96	42.78	NA
YNJS7C-a.gms.out.faa	99.99	NA	100.00	100.00	NA	NA	NA	99.78	99.97	100.00	NA	NA	NA	NA	NA	99.61	99.94	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	100	NA	NA	99.87	NA	NA	NA	99.94
YNJS7C-b.gms.out.faa	NA	72.77	NA	NA	99.96	89.49	75.84	NA	NA	NA	77.47	91.40	96.50	91.84	77.27	NA	NA	89.23	96.92	97.08	24.23	86.61	91.93	NA	96.64	83.17	98.06	NA	100	92.50	NA	73.89	95.89	84.95	NA
YNJS7C-c.gms.out.faa	NA	88.37	NA	NA	NA	90.92	91.41	NA	NA	NA	95.17	99.00	92.46	90.00	91.95	NA	NA	87.09	96.53	93.17	NA	86.76	94.21	NA	99.72	96.66	98.49	NA	92.50	100	NA	93.09	92.57	78.78	NA
gxpsy-a.gms.out.faa	99.88	NA	100.00	99.86	NA	NA	NA	99.78	99.85	99.90	NA	NA	NA	NA	NA	99.61	99.81	NA	NA	NA	NA	NA	NA	99.90	NA	NA	NA	99.87	NA	NA	100	NA	NA	NA	99.81
gxpsy-b.gms.out.faa	NA	90.98	NA	NA	29.59	86.74	91.43	NA	NA	NA	93.66	93.77	78.71	79.96	91.06	NA	NA	75.57	88.51	84.50	93.92	86.96	88.96	NA	70.46	99.87	92.82	NA	73.89	93.09	NA	100	76.41	77.68	NA
gxpsy-c.gms.out.faa	NA	74.37	NA	NA	99.77	98.72	77.53	NA	NA	NA	79.40	92.72	96.81	95.63	78.95	NA	NA	95.92	97.91	97.74	24.27	89.53	92.77	NA	96.60	97.47	99.96	NA	95.89	92.57	NA	76.41	100	90.49	NA
psy62-b.gms.out.faa	NA	75.39	NA	NA	97.06	96.88	68.51	NA	NA	NA	71.56	79.31	87.83	92.79	69.24	NA	NA	98.32	51.01	77.12	24.03	87.70	69.59	NA	92.64	97.57	42.78	NA	84.95	78.78	NA	77.68	90.49	100	NA
psy62-c.gms.out.faa	99.92	NA	99.92	99.92	NA	NA	NA	99.61	99.92	99.94	NA	NA	NA	NA	NA	99.61	100.00	NA	NA	NA	NA	NA	NA	99.94	NA	NA	NA	99.94	NA	NA	99.81	NA	NA	NA	100
